,Top-5 algorithms,,,,,
Name,xgboost,rf,dt,et,light,Sum
type,TRUE,TRUE,TRUE,TRUE,FALSE,4
smell_pmd,TRUE,TRUE,TRUE,TRUE,TRUE,5
smell_pmd_blob,TRUE,TRUE,TRUE,TRUE,FALSE,4
smell_designite_num_aglomeration,FALSE,TRUE,TRUE,TRUE,TRUE,4
smell_pmd_num_aglomeration,TRUE,TRUE,FALSE,FALSE,FALSE,2
background,TRUE,TRUE,TRUE,TRUE,TRUE,5
ck_method_uniquewordsqty,TRUE,TRUE,TRUE,TRUE,TRUE,5
ck_method_loc,TRUE,TRUE,TRUE,TRUE,TRUE,5
loc,FALSE,TRUE,TRUE,TRUE,TRUE,4
commits,FALSE,0.05,0.09,FALSE,0.275,0.415
stars,FALSE,FALSE,0.009,0.04,0.24,0.289
smell_pmd_dataclass,TRUE,FALSE,FALSE,FALSE,FALSE,1
ck_method_cboModified,FALSE,FALSE,FALSE,FALSE,TRUE,1
CK_Method_hasjavadoc,TRUE,FALSE,FALSE,FALSE,FALSE,1
number_of_contributors,0.01,FALSE,FALSE,0.04,0.175,0.225